,type,sym1,tongue,pulse,disease,sym2,treat,herb,herb_all,note,sym_all,sym_cnt,match_cnt,match_ratio
0,心氣虛證,"心悸,怔仲,氣短乏力,胸悶不適,神疲自汗",舌淡、苔薄,脈細弱,驚悸,"心中空虛,惶惶不安,多畏善恐,惕然而驚,神疲乏力",治宜養心益氣、安神定悸,養心湯(《證治準繩》),"1.養心湯(《證治準繩》)<炙黃芪、茯神、茯苓、半夏粬、當歸、川芎、炒遠志、炒酸棗仁、肉桂、柏子仁、五味子、人參、炙甘草、生薑、大棗>。
2. 歸脾湯(《婦人良方》) <黃芪、人參、白朮、茯神、龍眼肉、酸棗仁、木香、​炙甘草、當歸、遠志、大棗、生薑>。",,"['胸悶不適', '怔仲', '多畏善恐', '心中空虛', '心悸', '神疲自汗', '惕然而驚', '氣短乏力', '惶惶不安', '神疲乏力']",10,,
1,心血虛證,"心悸,怔忡,心煩失眠,多夢,易驚",舌色淡,脈細弱,心悸,"心悸,善忘,心煩,少寐,頭暈",治宜養陰補血,四物湯(《和劑局方》),四物湯(《和劑局方》)<熟地、當歸、川芎、芍藥>加酸棗仁、柏子仁、遠志。,,"['多夢', '善忘', '易驚', '心煩', '頭暈', '心悸', '怔忡', '心煩失眠', '少寐']",9,,
2,心陰虛證,"心悸,怔忡,胸痛胸悶,健忘,失眠",舌紅少津,脈細數,不寐,"心悸,五心煩熱,不易入睡,舌紅",治宜滋陰清熱,交泰丸(《韓氏醫通》》,"1.         交泰丸(《韓氏醫通》》[生川連、肉桂心]。
2. 黃連阿膠湯(《傷寒論》)[黃連、黃芩、芍藥、雞子黃、阿膠]。",,"['五心煩熱', '心悸', '胸痛胸悶', '怔忡', '健忘', '不易入睡', '舌紅', '失眠']",8,,
3,心陽虛證,"心悸,心中空虛,惕惕而動,心胸憋悶,形寒肢冷",舌淡、苔白、舌體胖嫩,脈細弱、脈結代、脈遲,心悸,"心悸,心中空虛,驚惕而動",治宜溫通心陽,桂枝甘草龍骨牡蠣湯《傷寒論》,"桂枝甘草龍骨牡蠣湯(《傷寒論》)<桂枝、甘草、牡蠣、龍骨>。
。",,"['惕惕而動', '心中空虛', '心悸', '形寒肢冷', '驚惕而動', '心胸憋悶']",6,,
4,心陽暴脫證,"先有心悸氣短,動則尤甚,畏寒,面色晦滯,心胸憋悶",舌淡、舌紫暗胖嫩、,脈沉細、脈結代、脈微欲絕,胸痹,"胸痛徹背,心悸氣短,面色蒼白,喘息不得臥,大汗淋漓",治宜回陽救逆,參附龍牡湯(《中醫症狀鑒別診斷學》),1.參附龍牡湯(《中醫症狀鑒別診斷學》)<參附湯（人參、附子、生薑、大棗）加龍骨、牡蠣>。,,"['心悸氣短', '喘息不得臥', '胸痛徹背', '畏寒', '面色晦滯', '面色蒼白', '動則尤甚', '先有心悸氣短', '大汗淋漓', '心胸憋悶']",10,,
5,心血氣虛兩證,"心悸,氣短,自汗,憋悶,倦怠乏力",舌質淡,脈弱,心悸,"心悸不寧,自覺心中空虛,面色晄白,神疲體倦,自汗",治宜補氣養血、養心寧神,歸脾湯(《濟生方》),歸脾湯(《濟生方》)：<甘草、生薑、大棗、白朮、當歸、茯神、黃耆、龍眼肉、木香、人參、酸棗仁、遠志>。,,"['自汗', '面色晄白', '心悸不寧', '心悸', '氣短', '倦怠乏力', '憋悶', '自覺心中空虛', '神疲體倦']",9,,
6,心氣陰兩虛證,"心悸怔忡,氣短乏力,心神不寧,失眠,虛煩",舌邊尖紅、舌苔少、舌質淡而光剝,脈細數、脈結代,心悸,"心中動悸,惕惕不安,氣短胸悶,手足心熱,多夢",治宜益氣養陰而寧心,天王補心丹(《世醫得效方》),天王補心丹(《世醫得效方》)：<生地黃、人參、茯苓、遠志、石菖蒲、玄參、柏子仁、桔梗、天門冬、丹參、酸棗仁、甘草、麥門冬、百部、杜仲、茯神、五味子、當歸>,,"['多夢', '心神不寧', '心悸怔忡', '虛煩', '氣短乏力', '心中動悸', '氣短胸悶', '失眠', '手足心熱', '惕惕不安']",10,,
7,心火亢盛證,"口舌生瘡,心中煩熱,急躁失眠,口渴,欲冷飲",舌紅,脈數,血淋,"尿血,口舌糜爛,心中煩熱,吐血,衄血",治宜清心瀉火、涼血止血,導赤散(《小兒藥證直訣》)：,"1.   導赤散(《小兒藥證直訣》)：<淡竹葉、生地黃、甘草、木通>。
2.尿血多者、宜小薊飲子(《濟生方》)：<梔子、甘草、淡竹葉、當歸、滑石、木通、蒲黃、生地黃、小薊、藕節>。",,"['口舌生瘡', '欲冷飲', '口渴', '心中煩熱', '衄血', '急躁失眠', '吐血', '尿血', '口舌糜爛']",9,,
8,心脈痹阻證,"胸悶不舒,心痛,心前區痛,胸骨後痛,引臂內側痛",舌質紫黯、舌邊有瘀斑,脈澀、脈結代、脈沉弦,胸痹,"胸悶氣憋,隱隱作痛,心悸,舌苔薄,舌苔膩",治當通陽、宣痹、散寒,栝蔞薤白半夏湯(《金匱要略》)：,"1. 栝蔞薤白半夏湯(《金匱要略》)：<栝蔞實、薤白、半夏、白酒>。
2.烏頭赤石脂丸(《金匱要略》)：<蜀椒、烏頭、附子、乾薑、赤石脂>加入丹參、紅花、桃仁、香附等活血理氣之品。",,"['胸骨後痛', '胸悶不舒', '引臂內側痛', '心悸', '心前區痛', '舌苔膩', '舌苔薄', '心痛', '隱隱作痛', '胸悶氣憋']",10,,
9,痰火擾心證,"心悸,心煩,面赤,口乾,失眠多夢",舌苔黃膩,脈滑數,癲狂,"心煩,心悸,胡言亂語,狂躁妄動,大便乾",治宜滌痰清火、鎮心安神,生鐵落飲(《醫學心悟》),生鐵落飲(《醫學心悟》)：<天冬（去心）、麥冬（去心）、貝母、膽星、橘紅、遠志肉、石菖蒲、連翹、茯苓、茯神、元參、鉤藤、丹參、辰砂、生鐵落>。,,"['面赤', '胡言亂語', '心煩', '心悸', '口乾', '狂躁妄動', '大便乾', '失眠多夢']",8,,
10,水氣淩心證,"心悸,眩暈,噁心嘔吐,形寒肢冷,氣短",舌苔白膩,脈沉弦、脈細滑,心悸,"心悸,氣短,胸悶,形寒肢冷,舌質淡",治宜益氣溫陽行水,桂枝甘草龍骨牡蠣湯(《傷寒論》,桂枝甘草龍骨牡蠣湯(《傷寒論》)：<桂枝（去皮）、甘草（炙）、牡蠣（熬）、龍骨>,,"['胸悶', '噁心嘔吐', '心悸', '氣短', '舌質淡', '眩暈', '形寒肢冷']",7,,
11,肝血虛證,"面色蒼白,面色萎黃,形體消瘦,兩目乾澀,夜盲",舌淡白,脈細、脈弦細,虛勞,"面色不華,形體消瘦,手足肢體麻木,筋脈拘急,爪甲脆而枯薄",治宜補血養肝, 補肝湯(《 醫宗金鑑》), 補肝湯(《 醫宗金鑑》)：<當歸、川芎 、白芍、熟地黃、酸棗仁、甘草炙、木瓜>。,,"['筋脈拘急', '夜盲', '面色蒼白', '爪甲脆而枯薄', '手足肢體麻木', '形體消瘦', '面色萎黃', '面色不華', '兩目乾澀']",9,,
12,肝陰虛證,"眩暈,頭痛,目乾,目畏光,兩目昏花",舌鮮紅、舌少苔,脈弦細數,脅痛,"脅肋隱痛,悠悠不休,舌紅少苔,脈弦細而數",治宜養陰柔肝,一貫煎(《柳州醫話》),一貫煎(《柳州醫話》)：<沙參、麥門冬、當歸、生地黃、枸杞子、川楝子>。,,"['頭痛', '舌紅少苔', '目乾', '目畏光', '悠悠不休', '脈弦細而數', '兩目昏花', '脅肋隱痛', '眩暈']",9,,
13,肝陽虛證,"憂鬱善恐,泱泱不樂,眼生黑花,視物不明,形寒怯冷",舌淡、苔白,脈沉細弦遲、左關沉弱,驚恐,驚與恐並見,治在培補肝膽、扶持元氣、兼鎮心神,龍齒清魂散(《類證治裁》),"1.   龍齒清魂散(《類證治裁》) ：<龍齒、遠志、人參、歸身、茯神、麥冬、桂心、甘草、延胡、細辛>。 
2. 珍珠母丸(《普濟本事方》) ：<珍珠母 當歸 熟地黃 人參 酸棗仁 柏子仁 犀角(禁用) 茯神 沉香 龍骨 薄荷>。",,"['形寒怯冷', '憂鬱善恐', '視物不明', '驚與恐並見', '眼生黑花', '泱泱不樂']",6,,
14,肝氣鬱結證,"精神抑鬱,胸脅滿悶,胸脅疼痛,善太息,乳房脹痛",苔薄,脈弦,癲症,"精神抑鬱,自言自語,語無倫次,哭笑無常,時悲時喜",治宜開鬱化痰,逍遙散(《和劑局方》,逍遙散(《和劑局方》)：<甘草、生薑、白芍、白朮、薄荷、柴胡、當歸、茯苓>合溫膽湯(《千金方》)：<半夏、竹茹、枳實、橘皮、甘草、生薑>。,,"['時悲時喜', '哭笑無常', '胸脅疼痛', '精神抑鬱', '乳房脹痛', '自言自語', '善太息', '語無倫次', '胸脅滿悶']",9,,
15,肝火上炎證,"眩暈頭痛,耳鳴如潮,突然耳聾失聽,面紅目赤,口苦咽乾",舌邊尖紅、舌苔黃,脈弦數,頭痛,"巔頂頭痛,頭痛如刀劈,頭痛脹悶不舒,頭部筋脈跳動擊痛,眩暈",治宜苦寒直折、清肝瀉火,龍膽瀉肝湯(《醫宗金鑑》,龍膽瀉肝湯(《醫宗金鑑》)：<甘草、柴胡、車前子、當歸、黃芩、龍膽、木通、生地黃、澤瀉、梔子>。,,"['眩暈頭痛', '頭痛如刀劈', '巔頂頭痛', '口苦咽乾', '面紅目赤', '突然耳聾失聽', '頭痛脹悶不舒', '耳鳴如潮', '眩暈', '頭部筋脈跳動擊痛']",10,,
16,肝陽上亢證,"頭暈,頭微脹,頭痛,目眩畏光,視物不清",舌邊紅、苔薄黃、苔薄白,脈弦細、脈弦細數。,頭痛,"跳痛樣,暴怒加重,睡眠不寧,煩躁易怒,脅痛",治宜平肝潛陽,天麻鉤藤飲(《雜病證治新義》),天麻鉤藤飲(《雜病證治新義》)：<梔子、川牛膝、杜仲、茯神、鈎藤、黃芩、桑寄生、石決明、天麻、夜交藤、益母草>去天麻、梔子、益母草，加菊花、夏枯草、苦丁茶、珍珠母之類。,,"['頭痛', '跳痛樣', '頭暈', '煩躁易怒', '頭微脹', '睡眠不寧', '暴怒加重', '脅痛', '目眩畏光', '視物不清']",10,,
17,肝風內動證,"眩暈,頭痛,耳鳴,口眼窩斜,昏撲失語",舌紅絳乾燥,脈弦數兼滑兼長、脈細數無力、脈細弦、脈虛弱。,眩暈,"頭痛,頭目眩暈如坐舟車,頭痛,頭暈,目酸畏光",治宜育陰潛陽、平肝熄風,鎮肝熄風湯 (《醫學衷中參西錄》,"1.   鎮肝熄風湯 (《醫學衷中參西錄》)：<懷牛膝、生赭石、生龍骨、生牡蠣、生龜板、生杭芍、玄參、天冬、川楝子、生麥芽、茵陳、甘草>。
2.羚角鉤藤湯(《通俗傷寒論》) ：<甘草、白芍、川貝母、茯神、鈎藤、菊花、桑葉、生地黃、羚羊角>去鮮生地、川貝母、桑葉、竹茹，再加生石決、生牡蠣、珍珠母、夜交藤、合歡花。",,"['頭痛', '頭暈', '口眼窩斜', '昏撲失語', '頭目眩暈如坐舟車', '目酸畏光', '眩暈', '耳鳴']",8,,
18,肝血瘀滯證,"面色青黑不華,脅下痞硬作痛,腹脹,體倦,納呆",舌質暗紅、舌邊有瘀斑,脈弦,脅痛,"胸脅刺痛固定不移,入夜更甚,脅下有痞塊,舌質紫暗,脈弦澀",治宜理氣活血化瘀,血府逐瘀湯(《醫林改錯》),血府逐瘀湯(《醫林改錯》)：<甘草、柴胡、赤芍、川芎、當歸、紅花、桔梗、川牛膝、生地黃、桃仁、枳殼>加減。,,"['脈弦澀', '脅下痞硬作痛', '納呆', '舌質紫暗', '體倦', '面色青黑不華', '脅下有痞塊', '腹脹', '入夜更甚', '胸脅刺痛固定不移']",10,,
19,肝經濕熱證,"黃疸,脅脹痛,飲食衰少,口苦,惡聞葷腥",苔白膩微黃，苔黃膩,脈濡數，弦滑數,黃疸,"一身面目悉黃,脅痛,口苦,惡聞葷腥,體倦乏力",治宜宣氣化濕清熱,二金湯(《溫病條辨》),"濕偏重者 :  
二金湯(《溫病條辨》)茵陳、梔子（擘）、大黃（去皮）<雞內金、海金沙、厚朴、大腹皮、豬苓、白通草>加茵陳。",,"['體倦乏力', '脅痛', '惡聞葷腥', '脅脹痛', '黃疸', '飲食衰少', '口苦', '一身面目悉黃']",8,,
20,寒滯肝脈證,"下腹脹痛,牽引睾丸墜痛,陰囊收縮,得熱痛緩,畏寒肢冷",舌苔白滑,脈沉弦、沉緊而遲,疝氣,"少腹牽引睾丸墜脹疼痛,痛勢悠悠,形寒肢冷,舌苔白滑,脈沉弦",治宜暖肝散寒，溫通並用,暖肝煎(《景岳全書》),暖肝煎(《景岳全書》)：<當歸、枸杞、茯苓、小茴香、肉桂、烏藥、沉香（木香亦可）。,,"['得熱痛緩', '舌苔白滑', '下腹脹痛', '少腹牽引睾丸墜脹疼痛', '陰囊收縮', '脈沉弦', '畏寒肢冷', '牽引睾丸墜痛', '形寒肢冷', '痛勢悠悠']",10,,
21,脾氣虛證,"食欲不振,食入即飽,食後腹脹滿,口不知味,全不思食",舌質淡、舌質淡胖有齒痕、舌苔薄白,脈弱無力,泄瀉,"久瀉不愈,穀食不化,大便時溏時瀉時輕時重,多食腹脹腸鳴,進油膩飲食腹脹腸鳴",治宜健脾止瀉,四君子湯：《景岳全書。雜證謨》," (《景岳全書。雜證謨》)
1. 四君子湯：<人參、白朮、茯苓、炙甘草、加薑、棗>。
2. 參朮湯：<人參、白朮、黃耆、白茯苓、陳皮、炙甘草、甚者加製附子>。
3. 參苓白朮散：<甘草、生薑、大棗、白扁豆、白朮、茯苓、桔梗、蓮子、人參、砂仁、山藥、薏苡仁>。",,"['食後腹脹滿', '口不知味', '進油膩飲食腹脹腸鳴', '穀食不化', '大便時溏時瀉時輕時重', '食入即飽', '多食腹脹腸鳴', '全不思食', '食欲不振', '久瀉不愈']",10,,
22,脾陽虛證,"畏寒肢冷,食欲減退,脘腹冷痛,喜溫喜按,大便清稀",舌質淡胖、舌質淡胖有齒痕,脈沉細弱,泄瀉,"暴注水瀉,慢性腹瀉,飲食不化,纏綿不愈,時輕時重",治當調理元氣、溫中健脾,養中煎(《景岳全書》),"1. 養中煎(《景岳全書》)：<人參、山藥、白扁豆、炙甘草、茯苓、乾薑>。
2. 溫胃飲(《景岳全書》)：<人參、白朮、扁豆、陳皮、乾薑、炙甘草、當歸>加減。",,"['食欲減退', '飲食不化', '暴注水瀉', '脘腹冷痛', '慢性腹瀉', '畏寒肢冷', '喜溫喜按', '時輕時重', '纏綿不愈', '大便清稀']",10,,
23,脾虛濕困證,"脘胃痞悶,脘腹隱痛,飲食減少,不思飲食,口中粘膩",舌淡、舌胖、苔白滑、苔白膩,脈濡、脈緩,痰飲,"咳痰量多,色白而稀,食少,脘脹,便溏",治宜建脾燥濕,二陳湯(《和劑局方》,二陳湯(《和劑局方》)：<甘草( 炙) 、半夏、陳皮、茯苓、生薑>。,,"['脘胃痞悶', '脘腹隱痛', '口中粘膩', '色白而稀', '脘脹', '食少', '不思飲食', '咳痰量多', '飲食減少', '便溏']",10,,
24,肺氣虛證,"喘咳,氣短,聲音低怯,自汗,畏風",舌胖質淡、苔白,脈虛弱,咳嗽,"咳嗽,氣短,痰液清稀,語聲低微,疲乏",治宜補益肺氣，健脾化痰,六君子湯(《婦人良方》)：,六君子湯(《婦人良方》)：<人蔘、白朮、茯苓、甘草、陳皮、半夏。>加減。,,"['自汗', '疲乏', '畏風', '咳嗽', '喘咳', '氣短', '痰液清稀', '語聲低微', '聲音低怯']",9,,
25,肺陰虛證,"乾咳,痰少而粘,痰中帶血,咽乾,聲音嘶啞",舌紅少津,脈細數,咳嗽,"乾咳,少痰,痰中帶血,咽乾,潮熱",治宜滋養肺陰，肅肺止咳,沙參麥冬湯(《溫病條辨》),沙參麥冬湯(《溫病條辨》)：<玉竹、天花粉、甘草、白扁豆、麥門冬、桑葉、沙參、瓜簍根>加減。,,"['乾咳', '痰少而粘', '痰中帶血', '潮熱', '咽乾', '少痰', '聲音嘶啞']",7,,
26,肺陽虛證,"咳吐涎沫質清稀量多,形寒肢冷,自汗,背寒如掌大,易感冒",舌質胖淡、苔白滑潤,脈遲緩、脈遲弦,肺痿,"吐涎沫質清稀量多,短氣息微,形寒肢冷,神疲乏力,飲食減少",治宜溫肺健脾，益氣化涎,甘草乾薑湯(《金匱要略》)：,甘草乾薑湯(《金匱要略》)：<甘草、乾薑>合四君子湯(《太平惠民和劑局方》)：<甘草、白朮、茯苓、人參>加減。,,"['自汗', '易感冒', '吐涎沫質清稀量多', '咳吐涎沫質清稀量多', '短氣息微', '飲食減少', '神疲乏力', '背寒如掌大', '形寒肢冷']",9,,
27,肺氣陰兩虛證,"喘咳氣短,聲音低怯,自汗,盜汗,口燥咽乾",舌質光紅少苔,脈細數無力,咳嗽,"咳嗽氣短,神疲乏力,口燥,咽乾,手足心熱",治宜益氣養陰，清燥潤肺,方用清燥救肺湯(《醫門法律》)：,方用清燥救肺湯(《醫門法律》)：<杏仁、甘草、阿膠、火麻仁、麥門冬、人參、桑葉、石膏、枇杷葉>;若邪熱未盡，氣陰耗傷者，治兼清熱，方用竹葉石膏湯(《傷寒論》)：<甘草、半夏、淡竹葉、大米、麥門冬、人參、石膏>。,,"['自汗', '盜汗', '喘咳氣短', '口燥', '口燥咽乾', '聲音低怯', '咽乾', '神疲乏力', '手足心熱', '咳嗽氣短']",10,,
28,風寒犯肺證,"鼻塞,聲重,噴嚏,流清涕,咳嗽",舌苔薄白,脈浮,感冒,"鼻塞,聲重,噴嚏,咳嗽,痰質稀薄",治宜辛溫解表，宣肺散寒,荊防敗毒散(《外科理例》),荊防敗毒散(《外科理例》)：<荊芥、防風、羌活、獨活、川芎、柴胡、桔梗、枳殼、前胡、人參、茯苓、甘草>。,,"['鼻塞', '咳嗽', '聲重', '噴嚏', '痰質稀薄', '流清涕']",6,,
29,燥邪犯肺證,"乾咳無痰,痰稠不易咳出,咯痰帶血,咽喉疼痛,口鼻乾燥",舌紅、舌苔薄黃乾,脈細數,咳嗽,"乾咳無痰,痰少黏稠難咳,鼻燥,咽乾,咳甚胸痛",治宜清肺潤燥止咳,清燥救肺湯(《醫門法律》,"清燥救肺湯(《醫門法律》)：<杏仁、甘草、阿膠、火麻仁、麥門冬、人參、桑葉、石膏、枇杷葉>。
",,"['咳甚胸痛', '乾咳無痰', '痰少黏稠難咳', '痰稠不易咳出', '鼻燥', '咽喉疼痛', '咽乾', '咯痰帶血', '口鼻乾燥']",9,,
30,寒痰阻肺證,"咳嗽氣喘,痰色白清稀,咳嗽遇冷則甚,喉間痰鳴,胸膈滿悶",舌苔白滑,脈沉遲,哮證,"吸急促,喉間有哮鳴音,痰白粘,痰稀薄多沫,胸膈滿悶如室",宜宣肺定喘化痰,射干麻黃湯《金匱要略》：,射干麻黃湯《金匱要略》：射干、麻黃、生薑、細辛、紫菀、款冬花、五味子、大棗、半夏,,"['喉間有哮鳴音', '吸急促', '痰稀薄多沫', '胸膈滿悶如室', '咳嗽氣喘', '痰白粘', '痰色白清稀', '咳嗽遇冷則甚', '胸膈滿悶', '喉間痰鳴']",10,,
31,痰熱壅肺證,"發熱咳嗽,胸膈滿悶,咳黃稠痰,痰中帶血,呼吸迫促",舌紅、苔黃膩,脈滑數,哮證,"呼吸迫促,喉中有水雞聲,咳嗽痰稠而黃,胸膈滿悶",治宜清熱化痰、平喘降逆,定喘湯《攝生眾妙方》：,"定喘湯《攝生眾妙方》：白果、麻黄、苏子、甘草、款冬花、
杏仁、桑白皮蜜炙、黄芩、法制半夏",,"['喉中有水雞聲', '咳嗽痰稠而黃', '痰中帶血', '呼吸迫促', '發熱咳嗽', '咳黃稠痰', '胸膈滿悶']",7,,
32,水寒射肺證,"咳嗽氣喘,痰涎多而稀白,面色蒼白,面色晦暗,形寒肢冷",苔白膩,脈濡緩或滑,飲證,"胸脅脹滿,咳唾,轉側及呼吸時疼痛加重,氣短息促,苔白",治宜攻逐水飲,十棗湯《傷寒論》,"1-1.體強者:十棗湯《傷寒論》：大棗、大戟、甘遂、芫花
1-2體弱者:享葶藶大棗瀉肺湯《金匱要略》：葶藶子、大棗
",,"['氣短息促', '轉側及呼吸時疼痛加重', '咳唾', '面色蒼白', '面色晦暗', '咳嗽氣喘', '苔白', '胸脅脹滿', '痰涎多而稀白', '形寒肢冷']",10,,
33,腎陰虛證,"五心煩熱,失眠,盜汗,口乾,咽燥",舌質紅,脈細數,遺精,"陽事易舉,夢遺,早洩,頭暈眼花,精神不振",治宜滋腎陰、清虛火,知柏地黃丸《醫方考》,"知柏地黃丸《醫方考》：熟地黃、山萸肉、乾山藥、澤瀉、
牡丹皮、茯苓去皮、知母鹽炒、黃柏鹽炒",,"['五心煩熱', '盜汗', '早洩', '陽事易舉', '頭暈眼花', '精神不振', '口乾', '夢遺', '失眠', '咽燥']",10,,
34,腎陽虛證,"畏寒,面色光白,腰膝酸冷,小便清長,遺尿",舌淡、苔白,尺脈沉細、脈沉遲。,虛勞,"惡寒肢冷,下利清稀,小便清長而多,腰背酸痛,遺精陽萎",治宜溫補命門、兼養精血,右歸丸《景嶽全書》,"右歸丸《景嶽全書》：當歸、杜仲、附子、枸杞子、
鹿角膠、肉桂、山藥、山茱萸、熟地黃、菟蕬子
及龜鹿二仙膠《蘭台軌範》：枸杞子、龜板、鹿角膠、人參 ",,"['小便清長而多', '遺精陽萎', '畏寒', '下利清稀', '面色光白', '遺尿', '腰背酸痛', '惡寒肢冷', '小便清長', '腰膝酸冷']",10,,
35,腎陰陽兩虛證,"畏寒踡臥,手足心熱,口乾,咽燥,喜熱飲","舌根苔白、
舌胖、
舌質稍紅",脈細弱,虛勞,"畏寒而手足心熱,口乾喜熱飲,眩暈,耳鳴,腰膝酸軟",治宜陰陽雙補,右歸丸《景岳全書》,"右歸丸《景岳全書》：當歸、杜仲、附子、枸杞子、
鹿角膠、肉桂、山藥、山茱萸、熟地黃、菟蕬子

左歸丸《景岳全書》：川牛膝、枸杞子、龜板、鹿角膠、山藥、山茱萸、熟地黃、菟蕬子",,"['口乾喜熱飲', '腰膝酸軟', '畏寒而手足心熱', '畏寒踡臥', '口乾', '喜熱飲', '眩暈', '手足心熱', '耳鳴', '咽燥']",10,,
36,腎氣虛證,"聽力減退,耳鳴,頭暈,腰膝酸軟,夜間多尿",舌淡、苔白,脈細弱,耳鳴,"耳聾,眩暈,耳鳴,耳聾,頭暈",治宜補腎理虛,耳聾左慈丸《小兒藥證直訣》,"耳聾左慈丸《小兒藥證直訣》：熟地黃、山茱萸（酒蒸）、山藥、
磁石（醋般）、牡丹皮、茯苓、澤瀉、竹葉柴胡

或右歸丸《景岳全書》：當歸、杜仲、附子、枸杞子、鹿角膠、
肉桂、山藥、山茱萸、熟地黃、菟蕬子 ",,"['腰膝酸軟', '夜間多尿', '頭暈', '聽力減退', '眩暈', '耳聾', '耳鳴']",7,,
37,腎不納氣證,"喘息,氣短,氣不接續,呼多吸少,吸氣為快",舌質淡,脈沉細,喘證,"喘息動則尤甚,氣不接續",治宜補腎納氣,參蛤散《中醫方劑臨床手冊》,"參蛤散《中醫方劑臨床手冊》 :蛤蚧、人參

合七味都氣丸《醫宗己任編》：熟地黃、山茱萸、山藥、澤瀉、茯苓、牡丹皮、 五味子",,"['喘息動則尤甚', '氣不接續', '喘息', '吸氣為快', '呼多吸少', '氣短']",6,,
38,腎陽虛水泛證,"尿少,身腫,腰以下為甚,按之沒指,畏寒肢冷","舌體胖嫩、
舌質淡、
齒痕、
苔白滑",脈沉遲,水腫,"全身浮腫,腰以下腫甚,按之沒指,舌體胖嫩",治宜溫腎暖陽、化氣行水,真武湯《傷寒論》,真武湯《傷寒論》：白芍、生薑、白朮、茯苓、附子,,"['舌體胖嫩', '腰以下為甚', '全身浮腫', '畏寒肢冷', '尿少', '按之沒指', '腰以下腫甚', '身腫']",8,,
39,心肝血虛證,"頭暈,目眩,眼花,耳鳴,心悸",舌淡、苔薄,脈細弦、脈細澀、脈細,不寐,"虛煩不眠,夜夢紛紜,眩暈,心悸",治宜補血養肝、寧心安神,酸棗仁湯《金匱要略》：,酸棗仁湯《金匱要略》：甘草、川芎、茯苓、酸棗仁、知母主之。,,"['目眩', '眼花', '頭暈', '心悸', '夜夢紛紜', '虛煩不眠', '眩暈', '耳鳴']",8,,
40,心肺氣虛證,"心悸氣短,咳嗽,少氣,氣喘促,氣喘促動甚",舌質淡暗、苔薄白,脈沉細弱,咳喘,"咳嗽無力,動則心悸,動則汗出,氣短作喘,口唇青紫",治當補肺定喘、益氣養心,補肺湯《永類鈴方》,補肺湯《永類鈴方》：人参、黄芪、熟地、五味子、紫菀、桑白皮 加減,,"['心悸氣短', '咳嗽無力', '動則汗出', '氣短作喘', '咳嗽', '動則心悸', '少氣', '口唇青紫', '氣喘促動甚', '氣喘促']",10,,
