,type,sym1,tongue,pulse,disease,sym2,treat,herb,herb_all,note,sym_all,sym_cnt,match_cnt,match_ratio
41,心脾兩虛證,"心悸,健忘,少寐,多夢,面色萎黃",舌質淡嫩、苔白,脈細弱,虛勞,"心悸,怔忡,健忘,失眠,多夢",治宜補益心脾,歸脾湯《濟生方》,"歸脾湯《濟生方》：甘草、生薑、大棗、白朮、當歸、茯神、
黃耆、龍眼肉、木香、人參、酸棗仁、遠志",,"['多夢', '心悸', '怔忡', '健忘', '少寐', '面色萎黃', '失眠']",7,,
42,心腎陽虛證,"形寒,肢冷,心悸,怔忡,尿少",舌淡暗、舌青紫、苔白滑,脈沉微,水腫,"全身水腫,肢冷畏寒,心悸,短氣,胸悶",治宜溫補心腎、利水消腫,保元湯《景嶽全書》,"保元湯《景嶽全書》：人參、黃耆、肉桂、甘草
合真武湯《傷寒論》:白芍、生薑、白朮、茯苓、附子 加減",,"['胸悶', '心悸', '怔忡', '短氣', '全身水腫', '肢冷', '尿少', '形寒', '肢冷畏寒']",9,,
43,心腎不交證,"心煩,失眠,多夢,遺精,腰瘦腿軟","舌質紅,
舌苔少或無苔",脈細數,驚悸怔忡,"心停不寧,遇驚而發或加重,煩而不寐,舌紅苔少,脈細數為主症","治宜養陰血,清心安神",天王補心丹《世醫得效方》,"1.天王補心丹《世醫得效方》:生地黃、人參、白茯苓、遠志、石菖蒲、
玄參、柏子仁、桔梗、天門冬、丹參、酸棗仁、甘草、麥門冬、百部、
杜仲、茯神、當歸、五味子
2.朱砂安神丸《東垣十書·內外傷辨》:朱砂、黃連、炙甘草、生地黃、當歸
3.六味地黃丸: 熟地黃、山茱萸、山藥、澤瀉、丹皮、茯苓",,"['煩而不寐', '腰瘦腿軟', '多夢', '遇驚而發或加重', '心煩', '舌紅苔少', '脈細數為主症', '失眠', '心停不寧', '遺精']",10,,
44,肝脾不調證,"胸脅脹滿,胸脅疼痛,善太息,精神抑鬱,心煩",苔白、苔膩,脈弦,泄瀉,"胸脅痞悶,噯氣,食少,憤怒腹痛泄瀉,抑鬱腹痛泄瀉",治宜抑肝扶牌,痛瀉要方《丹溪心法》,痛瀉要方《丹溪心法》:炒白朮、白芍、陳皮、防風,,"['胸脅疼痛', '抑鬱腹痛泄瀉', '心煩', '精神抑鬱', '憤怒腹痛泄瀉', '食少', '善太息', '胸脅脹滿', '胸脅痞悶', '噯氣']",10,,
45,肝火犯肺證,"咳嗽陣作,氣逆,咯痰黃粘,咳吐鮮血,胸脅疼痛",舌紅、苔薄黃,脈弦數,咳嗽,"咳嗽陣作,胸中氣逆嗆,咳時胸脅引痛,咯痰黃稠少,面紅",治宜泄肺清金、平木降火,丹青飲《醫醇騰義》,"丹青飲《醫醇騰義》:赭石、麥冬、杭菊、石斛、潼蒺藜、白蒺藜、
沙參、桑葉、橘紅、貝母、杏仁、旋覆花",,"['胸脅疼痛', '咯痰黃粘', '咳嗽陣作', '咯痰黃稠少', '氣逆', '咳吐鮮血', '胸中氣逆嗆', '面紅', '咳時胸脅引痛']",9,,
46,肝腎陰虛證,"視物昏花,雀盲,筋脈拘急,麻木,抽搐",舌紅、少苔、無苔,脈沉弦細數,脅痛,"脅肋隱痛,脅痛綿綿不休,伴有腰膝痠軟,頭暈,目眩",治宜滋補肝腎,一貫煎《柳洲醫話》,一貫煎《柳洲醫話》:北沙參、麥冬、當歸、生地黃、枸杞子、川楝子,,"['目眩', '雀盲', '頭暈', '脅痛綿綿不休', '視物昏花', '抽搐', '麻木', '伴有腰膝痠軟', '脅肋隱痛', '筋脈拘急']",10,,
47,脾肺氣虛證,"咳喘日久,痰白稀,胸悶,氣短,聲低",舌淡、苔白,脈細弱,感冒,"發熱,惡寒,頭疼,身痛,舌苔薄白","1.治宜益氣解表,宣肺化痰

2.自汗多、常感冒 : 
則宜益氣固表、托邪外出、祛風止汗",參蘇飲《和劑局方》,"1.參蘇飲《和劑局方》:人參、蘇葉、乾葛、前胡、半夏、茯苓、
陳皮、甘草、桔梗、
枳殼、生薑、大棗
2.玉屏風散《丹溪心法》：防風、黃耆、白朮、生薑
3.氣虛甚者: 補中益氣湯：黃耆、甘草、人參、當歸身、
陳皮、升麻、柴胡、白朮",,"['痰白稀', '胸悶', '頭疼', '發熱', '氣短', '咳喘日久', '惡寒', '舌苔薄白', '身痛', '聲低']",10,,
48,脾腎陽虛證,"形寒,肢冷,面色光白,消瘦,神疲",舌質淡胖、舌齒痕,脈沉遲細弱,虛勞,"食少,便溏,泄瀉,形體羸弱,虛怯",治療當溫補脾腎,附子理中湯《閻氏小兒方論》,"附子理中湯《閻氏小兒方論》:附子、干姜、黨参、炒白术、炙甘草
合右歸丸《景岳全書》:熟地黃、山藥、枸杞子、菟絲子、杜仲、
鹿角膠、山茱萸、當歸、附子、肉桂",,"['泄瀉', '消瘦', '虛怯', '面色光白', '食少', '肢冷', '形體羸弱', '形寒', '便溏', '神疲']",10,,
49,肺脾腎陽虛證,"咳嗽,氣喘,短氣,吐痰,自汗",舌淡胖、舌齒痕,脈弱,哮喘,"遇寒即發,遇勞即發",以扶正氣、培元固本,麻黃湯《金匱要略》,"1.發作之時:《金匱要略》
麻黃湯：麻黃、桂枝、甘草、杏仁
小青龍湯：麻黃、芍藥、五味子、乾薑、甘草、細辛、桂枝、半夏
射于麻黃湯：射干、麻黃、生薑、細辛、紫苑、款冬花、五味子、大棗、半夏

2.緩解時:《景岳全書》
金匱腎氣丸：乾地黃、薯蕷、山茱萸、澤瀉、茯苓、牡丹皮、桂枝、附子
右歸丸：熟地黃、山藥、枸杞子、菟絲子、杜仲、鹿角膠、山茱萸、當歸、附子、肉桂
大補元煎：人參、山藥、熟地、杜仲、當歸、山茱萸、枸杞子、甘草",,"['短氣', '遇寒即發', '氣喘', '自汗', '吐痰', '遇勞即發', '咳嗽']",7,,
50,肺腎陰虛證,"咳嗽痰少,痰中帶血,口燥,咽乾,聲音嘶啞",舌紅、少苔,脈細數,咳嗽,"咳嗽少痰,痰中帶血,五心煩熱,咳嗽入夜尤甚,咽喉乾燥",治療宜滋養腎陰、潤肺止咳,月華丸《醫學心悟》,"月華丸《醫學心悟》:天冬、生地、麥冬、熟地、山藥、百部、
沙參、川貝母、真阿膠、茯苓、獺肝、廣三七
用白菊花及桑葉熬膏，將阿膠化入膏內和藥，稍加煉蜜為丸",,"['五心煩熱', '咳嗽少痰', '咳嗽入夜尤甚', '口燥', '痰中帶血', '咽喉乾燥', '咽乾', '咳嗽痰少', '聲音嘶啞']",9,,
51,膽氣虛證,"膽怯,怔忡,易驚恐,遇事不決,夜寐不安",舌質淡紅,脈弦細,惊悸,"頭暈欲嘔,膽怯,易驚,坐臥不安,虛煩不眠",治應化痰降濁、溫膽甯神,溫膽湯《千金方》,溫膽湯《千金方》:半夏、竹茹、枳實、橘皮、甘草、生薑,,"['夜寐不安', '易驚', '坐臥不安', '怔忡', '虛煩不眠', '易驚恐', '膽怯', '遇事不決', '頭暈欲嘔']",9,,
52,膽熱證,"頭暈,耳鳴,口苦,咽乾,心煩",舌紅、苔黃,脈弦,眩暈,"頭暈,目眩,胸脅苦滿,口苦,嘔吐苦水",治當瀉膽清熱,龍膽瀉肝湯《醫宗金鑒》,"龍膽瀉肝湯《醫宗金鑒》:龍膽草、梔子、黃芩、柴胡、生地黃、 
澤瀉、當歸、車前子、木通、甘草 ",,"['胸脅苦滿', '目眩', '心煩', '頭暈', '咽乾', '口苦', '嘔吐苦水', '耳鳴']",8,,
53,膽鬱痰擾證,"眩暈,口苦,嘔惡,煩躁,失眠",舌苔黃膩,脈弦滑,眩暈,"口苦,嘔惡,胸悶,右脅不舒,納呆",治宜清熱化痰、平肝潛陽,溫膽湯《千金方》,溫膽湯《千金方》半夏、竹茹、枳實、橘皮、甘草、 生薑 加天麻、鉤藤,,"['煩躁', '胸悶', '納呆', '右脅不舒', '失眠', '嘔惡', '口苦', '眩暈']",8,,
54,胃氣虛證,"胃脘隱痛,胃痛按之痛減,不思飲食,食後不易消化,食入則吐",舌質淡、苔白,脈虛弱,胃脘痛,"胃脘疼痛日久,胃痛隱隱作痛,胃痛空腹明顯,胃痛得食稍減,胃痛得按覺舒",治宜補益胃氣,黃芪建中湯《金匱要略》,黃芪建中湯《金匱要略》:黃耆、桂枝、白芍、甘草、生薑、大棗、飴糖,,"['胃痛按之痛減', '胃脘隱痛', '胃痛隱隱作痛', '胃痛空腹明顯', '胃痛得按覺舒', '胃痛得食稍減', '食後不易消化', '不思飲食', '胃脘疼痛日久', '食入則吐']",10,,
55,胃陰虛證,"不思飲食,飲食減少,飢而不食,口咽乾燥,咽乾舌燥",舌紅、少苔,脈細數,胃脘痛,"胃脘隱隱作痛,納呆,喜稀軟,胃燥乾噦,舌瘦",治宜養陰和胃緩痛,沙參麥冬湯《溫病條辨》,沙參麥冬湯《溫病條辨》：沙參、玉竹、生甘草、冬桑葉、麥冬、生扁豆、花粉,,"['咽乾舌燥', '納呆', '飢而不食', '舌瘦', '不思飲食', '口咽乾燥', '喜稀軟', '胃燥乾噦', '胃脘隱隱作痛', '飲食減少']",10,,
56,胃寒證,"胃中發涼,胃伏冰狀,冷痛,脹滿,泛吐清水",舌淡、苔白滑,脈弦、脈遲,胃脘痛,"胃脘突然劇痛,胃痛拒按,局部冰冷,胃痛遇寒痛甚,胃痛得溫則緩",治宜溫胃散寒止痛,良附丸《良方集腋》,良附丸《良方集腋》:高良薑、香附 可加：青皮、木香、當歸、乾薑、沉香,,"['泛吐清水', '胃伏冰狀', '胃脘突然劇痛', '胃痛拒按', '冷痛', '局部冰冷', '胃痛得溫則緩', '脹滿', '胃中發涼', '胃痛遇寒痛甚']",10,,
57,胃氣上逆證,"不思飲食,院部脹痛,噁心,嘔吐,噯氣",苔薄白、苔白膩,脈弦滑,呃逆,"喉間呃呃連聲,聲短而頻",治療應以降逆止呃為主,丁香柿蒂湯《 症因脈治》,"丁香柿蒂湯《 症因脈治》:丁香、柿蒂、人參、生薑
加旋複花、批杷葉、刀豆子等",,"['喉間呃呃連聲', '噁心', '不思飲食', '聲短而頻', '嘔吐', '院部脹痛', '噯氣']",7,,
58,胃熱證,"多食善饑,渴喜冷飲,胃脘疼痛,胃脘灼熱感,口噦",舌紅、苔黃,脈數有力,胃脘痛,"胃院灼熱陣痛,痛勢急,口渴喜冷飲,便秘,便赤",治宜清熱安胃,小陷胸湯《傷寒論》,小陷胸湯《傷寒論》:黃連、半夏、瓜蔞實,,"['胃院灼熱陣痛', '口噦', '口渴喜冷飲', '痛勢急', '胃脘疼痛', '便赤', '渴喜冷飲', '胃脘灼熱感', '便秘', '多食善饑']",10,,
59,大腸濕熱證,"下利粘液或便膿血,裡急後重,便物如醬,便如黃水而工門灼熱,並見腹痛",舌苔黃膩,脈象滑數,腹痛,"下腹部明顯,大便粘滯不暢而門灼熱,痛而拒按,不喜溫暖",治當調氣導滯、清化濕熱,芍藥湯《素問病機氣宜 保命集》,"芍藥湯《素問病機氣宜 保命集》:芍藥、黃連、黃芩、大黃、
當歸、檳榔、木香、肉桂、甘草",,"['便如黃水而工門灼熱', '便物如醬', '大便粘滯不暢而門灼熱', '痛而拒按', '下腹部明顯', '不喜溫暖', '裡急後重', '下利粘液或便膿血', '並見腹痛']",9,,
60,大腸結熱證,"大便乾燥秘結,肛門灼熱,口乾煩渴,小便短赤,腹脹硬滿","舌苔黃燥,
甚則黑褐起芒刺",脈象洪數有力,便秘,"口乾煩渴喜飲,肛門灼熱,小便黃赤,舌紅苔黃燥,脈洪數有力",治宜清瀉結熱,涼膈散 《和劑局方》,"涼膈散 《和劑局方》:川大黃、朴硝、甘草、山梔子仁、
薄荷葉、黃芩、連翹、竹葉",,"['口乾煩渴喜飲', '口乾煩渴', '肛門灼熱', '脈洪數有力', '小便短赤', '小便黃赤', '大便乾燥秘結', '腹脹硬滿', '舌紅苔黃燥']",9,,
61,大腸津虧證,"大便乾結,排便困難,努責難下,甚則便秘,口乾口臭","舌紅少津,苔黃",脈細或兼數,便秘,"便乾結,口乾口臭,小便短赤,舌紅少津苔黃,脈細數","治宜泄熱潤腸通便

",清燥潤腸湯《醫醇嚴義》,"1-1.清燥潤腸湯《醫醇嚴義》:生地，熟地，當歸，麻仁，蔞仁，
郁李仁，石斛，枳殼，青皮，金橘餅
1-2.五仁丸《世醫得效方》:桃仁、  杏仁、  柏子仁、  松子仁、 郁李仁、  陳皮
",,"['口乾口臭', '排便困難', '小便短赤', '努責難下', '甚則便秘', '脈細數', '大便乾結', '便乾結', '舌紅少津苔黃']",9,,
62,小腸氣滯證,"少腹絞痛,腹脹腸鳴,陰囊疝痛",苔薄白,脈沉弦或弦滑,寒症,"陰囊收縮引痛,喜暖畏寒,形寒足冷,造白,脈沉弦等症",治宜溫肝散寒,暖肝煎《景岳全書》:,暖肝煎《景岳全書》:當歸、枸杞子、小茴香、肉桂、烏藥、沉香、木香、茯苓、生薑,,"['喜暖畏寒', '陰囊疝痛', '腹脹腸鳴', '脈沉弦等症', '少腹絞痛', '形寒足冷', '造白', '陰囊收縮引痛']",8,,
63,膀胱虛寒證,"小便頻數而清長,餘瀝不盡,遺尿,或小便失禁,面白神疲",舌淡苔白,脈沉弱,遺尿,"中尿液遺出,醒後始覺,面色無華,形體消瘦,精神不足","治宜調補心腎,固澀止遺",桑螵蛸散《本草衍義》:,桑螵蛸散《本草衍義》:桑螵蛸、遠志、石菖蒲、龍骨、人參、茯神、當歸、龜板,,"['或小便失禁', '精神不足', '醒後始覺', '遺尿', '面白神疲', '形體消瘦', '餘瀝不盡', '小便頻數而清長', '中尿液遺出', '面色無華']",10,,
64,心胃火盛證,"胃灼痛,心煩懷愧,嘔血或吐血,口舌生瘡,牙眼腫痛或齒姐","舌紅,苔黃",脈滑數,吐血,"吐出血色鮮紅或暗紫,夾有食物殘渣","治則當以清瀉心胃之火,佐以止血之法",瀉心湯《金匱要略》:,"瀉心湯《金匱要略》:大黃、 黃連、黃芩

與十灰散《十藥神書》:大薊、小薊、荷葉、側柏葉、白茅根、
茜草根、梔子、大黃、丹皮、棕櫚 合方",,"['心煩懷愧', '口舌生瘡', '胃灼痛', '吐出血色鮮紅或暗紫', '夾有食物殘渣', '嘔血或吐血', '牙眼腫痛或齒姐']",7,,
65,肝膽濕熱證,"口苦,納呆,嘔惡,腹脹,脅肋脹痛",舌苔黃膩,脈弦數,脅痛,"口苦,脅肋脹痛,舌紅苔黃膩,脈弦數",治療應清熱利濕、疏肝理氣,龍膽瀉肝湯《醫宗金鑒》:,"龍膽瀉肝湯《醫宗金鑒》:龍膽草、梔子、黃芩、柴胡、生地黃、
澤瀉、當歸、車前子、木通、甘草  加川練、元胡",,"['舌紅苔黃膩', '納呆', '脅肋脹痛', '腹脹', '脈弦數', '嘔惡', '口苦']",7,,
66,肝膽不合證,"胃腸脹滿疼痛,引及兩脅痛,呢逆暖氣,吞酸嘈雜,食入不化",苔薄白或薄黃,脈弦,胃脘痛,"胃脘脹滿,功痛連協,甚則兩脇䐜脹難受,噯氣頻頻,苔多薄白",治宜疏肝理氣，和胃止痛,柴胡疏肝湯《景岳全書》:,柴胡疏肝湯《景岳全書》:香附、白芍、柴胡、川芎、枳殼、陳皮、甘草,,"['呢逆暖氣', '引及兩脅痛', '苔多薄白', '甚則兩脇䐜脹難受', '噯氣頻頻', '胃脘脹滿', '吞酸嘈雜', '食入不化', '胃腸脹滿疼痛', '功痛連協']",10,,
67,食傷脾胃證,"胃院脹滿疼痛,拒按,嘔吐酸腐,暖氣厭食或腸鳴腹痛,瀉下類便",舌苔厚膩,脈滑或弦滑,胃痛,"胃脘部脹滿疼痛,拒按,暖氣吞酸或嘔吐不消化食物,吐後痛減",治宜消食導滯,保和丸《丹溪心法》,保和丸《丹溪心法》:神麯、山楂、茯苓、半夏、陳皮、連翹、萊菔子,,"['暖氣厭食或腸鳴腹痛', '拒按', '嘔吐酸腐', '暖氣吞酸或嘔吐不消化食物', '瀉下類便', '吐後痛減', '胃脘部脹滿疼痛', '胃院脹滿疼痛']",8,,
68,脾胃濕熱證,"腹痞悶,嘔惡厭食,肢體困重,大便溏泄而惡臭,小便短赤","舌質紅,舌苔黃膩",脈濡數,濕阻,"口苦粘膩,脈濡數",治療應清熱化濕,連補飲《霍亂論》,"1.連補飲《霍亂論》:炙厚朴、川連(薑汁炒)、石菖蒲、
炙半夏、香豉(炒)、 焦山梔、蘆根

2.甘露消毒丹(《溫熱經緯》:飛滑石、綿茵陳、黃芩、石菖蒲、
川貝、木通、藿香、射干、連翹、薄荷、白豆蔻",,"['嘔惡厭食', '大便溏泄而惡臭', '腹痞悶', '脈濡數', '肢體困重', '小便短赤', '口苦粘膩']",7,,
69,胃強脾弱證,"消穀善饑,形體消瘦,嘈雜腹脹,大便溏泄,心煩頭腦",舌質紅,脈細弦帶數,黃疸,"嘈雜,食入腹脹,心煩頭眩,大便溏泄","治宜調理脾胃,消食和中",小柴胡湯《傷寒論》:,"小柴胡湯《傷寒論》:柴胡、黃芩、人參、半夏、甘草、生薑、大棗
加自朮、枳殼、山梔",,"['嘈雜腹脹', '心煩頭眩', '消穀善饑', '心煩頭腦', '形體消瘦', '食入腹脹', '嘈雜', '大便溏泄']",8,,
70,寒濕鬱肺證(輕型),"發熱,乏力,周身酸痛,咳嗽,咯痰",舌質淡胖、舌齒痕、舌淡紅、苔白厚腐膩、苔白膩,脈濡、脈滑,COVID19,COVID19,COVID特方,寒濕疫方,寒濕疫方：<生麻黃6 g、生石膏15 g、杏仁9 g、羌活15 g、葶藶子15 g、貫眾9 g、地龍15 g、徐長卿15 g，藿香15 g、佩蘭9 g、蒼朮15 g、雲苓45 g、生白朮30 g、焦三仙各9 g、厚朴15 g、焦檳榔9 g、煨草果9 g、生薑15 g>。,服法：每日1劑，水煎600 mL，分3次服用，早中晚各1次，飯前服用。,"['咯痰', '周身酸痛', 'COVID19', '乏力', '發熱', '咳嗽']",6,,
71,濕熱蘊肺證(輕型),"低熱,不發熱,微惡寒,乏力,頭身困重",舌淡紅、苔白厚膩、苔薄黃,脈滑數、脈濡,COVID19,COVID19,COVID特方,檳榔10 g、草果10 g、厚朴10 g、知母10 g、黃芩10 g etc,檳榔10 g、草果10 g、厚朴10 g、知母10 g、黃芩10 g，柴胡10 g、赤芍10 g、連翹15 g、青蒿10 g(後下)、蒼朮10 g、大青葉10 g、生甘草5 g。,服法：每日1劑，水煎400 mL，分2次服用，早晚各1次。,"['頭身困重', '微惡寒', '乏力', 'COVID19', '低熱', '不發熱']",6,,
72,濕毒鬱肺證(普通型),"發熱,咳嗽痰少,咳嗽黃痰,憋悶氣促,腹脹",舌質暗紅、舌體胖、苔黃膩、苔黃燥,脈滑數、脈弦滑。,COVID19,COVID19,COVID特方,宣肺敗毒方,宣肺敗毒方：<生麻黃6 g、苦杏仁15 g、生石膏30 g、生薏苡仁30 g、茅蒼朮10 g、廣藿香15 g、青蒿草12 g、虎杖20 g、馬鞭草30 g、幹蘆根30 g、葶藶子15 g、化橘紅15 g、生甘草10 g。,服法：每日1劑、水煎400 mL，分2次服用、早晩各1次。,"['憋悶氣促', '腹脹', 'COVID19', '發熱', '咳嗽痰少', '咳嗽黃痰']",6,,
73,寒濕阻肺證(普通型),"低熱,身熱不揚,未熱,乾咳,少痰",舌質淡、舌質淡紅、苔白、苔白膩、,脈濡,COVID19,COVID19,COVID特方,"蒼朮15 g、陳皮10 g、厚朴10 g、藿香10 g, etc",蒼朮15 g、陳皮10 g、厚朴10 g、藿香10 g、草果6 g、生麻黃6 g、羌活10 g、生薑10 g、檳榔10 g。,服法：每日1劑，水煎400 mL，分2次服用，早晩各1次。,"['乾咳', '未熱', 'COVID19', '少痰', '身熱不揚', '低熱']",6,,
74,疫毒閉肺證(重型),"發熱,面紅,咳嗽,痰黃粘少,痰中帶血",舌紅、苔黃膩,脈滑數,COVID19,COVID19,COVID特方,化濕敗毒方,化濕敗毒方：<生麻黃6 g、杏仁9 g、生石膏15 g、甘草3 g、藿香10 g(後下)、厚朴10 g、蒼朮15 g、草果10 g、法半夏9 g、茯苓15 g、生大黃5 g(後下)、生黃芪10 g、葶藶子10 g、赤芍10 g。,服法：每日1～2劑，水煎服，每次100～200 mL，每日2～4次，口服或鼻飼。,"['COVID19', '面紅', '發熱', '痰黃粘少', '咳嗽', '痰中帶血']",6,,
75,氣營兩燔證(重型),"大熱煩渴,喘憋氣促,譫語,神昏,視物錯瞀",舌絳、少苔、無苔,脈沉細數、脈浮大而數,COVID19,COVID19,COVID特方,生石膏30～60 g(先煎)、知母30 g、etc,生石膏30～60 g(先煎)、知母30 g、生地30～60 g、水牛角30 g(先煎)、赤芍30 g、玄參30 g、連翹15 g、丹皮15 g、黃連6 g、竹葉12 g、葶藶子15 g、生甘草6 g。,服法：每日1劑，水煎服，先煎石膏、水牛角後下諸藥，每次100～200 mL，每日2～4次，口服或鼻飼。,"['視物錯瞀', '大熱煩渴', '神昏', 'COVID19', '譫語', '喘憋氣促']",6,,
76,輕症方,一般住院隔離病患（含無症帶原與初發作症狀者）,無,無,COVID19,"COVID19,輕症",COVID特方,魚腥草五錢、板藍根五錢、荊芥三錢、防風二錢、桑葉三錢、etc,"魚腥草五錢、板藍根五錢、荊芥三錢、防風二錢、桑葉三錢、黃芩三錢、全瓜蔞五錢、厚朴三錢、薄荷三錢、炙甘草二錢
濃縮中藥處方：以下為一日量，分 3 包，5 g. TID。
    板藍根 1.5 g、魚腥草 3.0 g、黃芩 1.5 g、全瓜蔞 2.0 g
    荊芥 1.0 g、防風 1.0 g、桑葉 1.5 g、厚朴 1.5 g、薄荷 1.0 g、甘草 1.0 g",飲片：每日 1 劑，1000 cc水煎成 300 cc藥汁，三餐飯後半小時服，100 cc/次。衛生福利部國家中醫藥研究所,"['輕症', '一般住院隔離病患（含無症帶原與初發作症狀者）', 'COVID19']",3,,
77,重症方,"加護病房患者（肺炎發作,咳嗽,發熱症狀明顯者）",無,無,COVID19,"COVID19,重症",COVID特方,魚腥草一兩、板藍根五錢、生石膏三錢etc,魚腥草一兩、板藍根五錢、生石膏三錢、全瓜蔞五錢、荊芥三錢、薄荷三錢、桑葉三錢、炙甘草二錢、厚朴三錢,飲片：每日 1 劑，1200 cc水煎成 300 cc藥汁，三餐飯後半小時服，100 cc/次。衛生福利部國家中醫藥研究所,"['COVID19', '重症', '加護病房患者（肺炎發作', '咳嗽', '發熱症狀明顯者）']",5,,
78,危重症方,插管治療病患（肺炎嚴重發展者）,無,無,COVID19,"COVID19,危重症",COVID特方,製附子一錢半、玉竹三錢、炙甘草二錢 etc,製附子一錢半、玉竹三錢、炙甘草二錢、茯苓五錢、薑半夏三錢、魚腥草一兩、綿茵陳五錢、黃芩三錢、全瓜蔞五錢、厚朴三錢,衛飲片：每日 1 劑，1200 cc水煎成 300 cc藥汁，三餐飯後半小時服，100 cc/次。福利部國家中醫藥研究所,"['插管治療病患（肺炎嚴重發展者）', 'COVID19', '危重症']",3,,
79,恢復期,無明顯發展肺纖維化,無,無,COVID19,"COVID19,恢復",COVID特方,北沙參三錢、麥冬三錢、生地三錢、丹皮三錢、茯苓五錢、etc,"北沙參三錢、麥冬三錢、生地三錢、丹皮三錢、茯苓五錢、炒白朮二錢、全瓜蔞五錢、綿茵陳五錢、黃芩三錢、桑葉三錢、厚朴三錢、甘草二錢。
濃縮中藥處方：以下為一日量，分 3 包，5 g. TID。
    茯苓 1.5 g、丹皮 1.5 g、麥冬 1.5 g、桑葉 1.5 g
    綿茵陳 2.0 g、全瓜蔞 3.0 g、黃芩 1.5 g、厚朴 1.0 g、甘草 1.5 g",飲片：每日 1 劑，1200 cc水煎成 300 cc藥汁，早晚餐後半小時服，150 cc。衛生福利部國家中醫藥研究所,"['恢復', '無明顯發展肺纖維化', 'COVID19']",3,,
80,恢復期,發展肺纖維化,無,無,COVID19,"COVID19,恢復",COVID特方,炙甘草三錢、製附子一錢、桂枝二錢、etc,炙甘草三錢、製附子一錢、桂枝二錢、北沙參三錢、全瓜蔞五錢、黃芩三錢、生地三錢、生玉竹三錢、綿茵陳五錢、丹皮三錢、枳殼三錢,飲片：每日 1 劑，1200 cc水煎成 300 cc藥汁，早晚餐後半小時服，150 cc。衛生福利部國家中醫藥研究所,"['恢復', '發展肺纖維化', 'COVID19']",3,,
